singer,song_name
ABBA, No Doubt About It
ABBA, Ode To Freedom
鄭俊日, 366days
張芸菁, 大不了
張芸菁, 過分的安靜
Zhuang Huihui, 等等吧 (Wait For It)
Oac, What U Doin
鮑越, 逆向行駛
MASH, 壊れたJukebox
半崎美子, 地球へ
劉夫陽, Night Shift
Crystal Kay, ひとりじゃないから
李宸希, 沒有的光
Buyer Client, dabscription
なかねかな, ビジネスパートナー
鈴木このみ, 命の灯火
鮑越, 我好想早點遇見你
HUR, Intro
HUR, Feels Like Rain
HUR, Outro
田中ヒメ, 花れ話れ
鈴木ヒナ, Resistance!
蘭花刀, 貳肆陸伍
nano.RIPE, 声鳴文
nano.RIPE, 花に雨
nano.RIPE, オーブ
nano.RIPE, リリリバイバー
